Что это за вид спорта, в котором команды сражаются за победу, используя длинные клюшки и мяч?|хоккей|Игра, в которой участвуют две команды, стремящиеся забить мяч в ворота противника
Что это за известный город в США, который также называют "Городом Брата Любви"?|Сан-Франциско|Известный американский город, расположенный в штате Калифорния
Что это за вид спорта, в котором участники сражаются за победу на высоких скоростях, управляя специальными автомобилями?|гонки|Спортивное мероприятие, где участники соревнуются на высоких скоростях в управлении автомобилями
Что это за вид животных, которые обычно имеют перья, крылья и способность летать?|птицы|Животные, обладающие перьями и способностью к полету
Что это за национальный парк в США, который знаменит своими многочисленными гейзерами и горячими источниками?|Йеллоустоун|Известный парк, расположенный в США, на территории штатов Вайоминг, Монтана и Айдахо
Что это за вид музыкального инструмента, который состоит из четырех струн и играется с помощью смычка или пальцев?|скрипка|Струнный инструмент, используемый в музыке для создания мелодий и гармонии
Что это за вид спорта, в котором участники пытаются забить мяч в корзину противника, используя руки или специальные клюшки?|баскетбол|Спортивная игра, в которой команды соревнуются за забивание мяча в корзину противника
Что это за город в Италии, который считается колыбелью Возрождения и известен своими музеями, искусством и архитектурой?|Флоренция|Известный итальянский город, который считается одним из самых культурных и исторически значимых городов мира
Что это за вид музыкального инструмента, который играют, нажимая на клавиши и используя педали для изменения звука?|пианино|Инструмент, используемый для создания музыки с помощью клавиш и педалей
Что это за национальный парк в Кении и Танзании, который известен своими дикими животными и миграцией саванны?|Серенгети|Известный парк, расположенный в Восточной Африке, который является домом для множества видов диких животных
Что это за вид спорта, в котором участники стремятся пройти дистанцию наиболее быстро, используя свои ноги?|бег|Физическая активность, в которой участники стремятся пройти дистанцию наиболее быстро, используя только свои ноги
Что это за город в Японии, который славится своими яркими огнями, высокими небоскребами и современной архитектурой?|Токио|Столица Японии, являющаяся одним из крупнейших и наиболее плотно населенных городов в мире
Что это за вид искусства, который использует масляные или акриловые краски для создания картины на холсте?|живопись|Вид искусства, который использует краски для создания изображений на поверхности
Что это за национальный парк в Калифорнии, который известен своими массивными секвойями и высокими водопадами?|Йосемити|Парк, расположенный в Северной Калифорнии, являющийся домом для множества видов дикой природы
Что это за вид музыкального инструмента, который имеет клавиши и создает звук путем удара по струнам с помощью молоточков?|фортепиано|Музыкальный инструмент, используемый для создания мелодий и гармонии
